시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
충남,보령시,전기승용,77,전기승용,77,전기승용,77,204,충남 보령시,36.3331629,126.6129441
충남,아산시,전기승용,290,전기승용,290,전기승용,290,488,충남 아산시,36.789796,127.0018494
충남,서산시,전기승용,320,전기승용,320,전기승용,320,452,충남 서산시,36.7844993,126.4503169
충남,논산시,전기승용,163,전기승용,163,전기승용,163,216,충남 논산시,36.1870656,127.0987453
충남,계룡시,전기승용,81,전기승용,81,전기승용,81,110,충남 계룡시,36.2745577,127.2485896
충남,당진시,전기승용,355,전기승용,355,전기승용,355,452,충남 당진시,36.8936109,126.6283278
충남,금산군,전기승용,63,전기승용,63,전기승용,63,112,충남 금산군,36.1086928,127.4880712
충남,부여군,전기승용,69,전기승용,69,전기승용,69,164,충남 부여군,36.2754406,126.910178
충남,서천군,전기승용,41,전기승용,41,전기승용,41,136,충남 서천군,36.0803312,126.6913277
충남,청양군,전기승용,26,전기승용,26,전기승용,26,61,충남 청양군,36.4588326,126.8022116
충남,홍성군,전기승용,69,전기승용,69,전기승용,69,137,충남 홍성군,36.60123,126.6607764
충남,예산군,전기승용,101,전기승용,101,전기승용,101,271,충남 예산군,36.6826123,126.8483951
충남,태안군,전기승용,42,전기승용,42,전기승용,42,132,충남 태안군,36.7456421,126.2980528
전북,전주시,전기승용,518,전기승용,518,전기승용,518,919,전북 전주시,35.8242238,127.1479532
전북,군산시,전기승용,373,전기승용,373,전기승용,373,657,전북 군산시,35.9676772,126.7366293
전북,익산시,전기승용,224,전기승용,224,전기승용,224,602,전북 익산시,35.9482858,126.9575991
전북,정읍시,전기승용,146,전기승용,146,전기승용,146,312,전북 정읍시,35.5698855,126.8558955
전북,남원시,전기승용,142,전기승용,142,전기승용,142,265,전북 남원시,35.416357,127.3904877
전북,김제시,전기승용,83,전기승용,83,전기승용,83,234,전북 김제시,35.8036079,126.8808872
전북,완주군,전기승용,58,전기승용,58,전기승용,58,101,전북 완주군,35.891275,127.253895
전북,진안군,전기승용,39,전기승용,39,전기승용,39,69,전북 진안군,35.7917297,127.4248356
전북,무주군,전기승용,39,전기승용,39,전기승용,39,58,전북 무주군,36.0068191,127.6607805
