,L1 대분류,L2 중분류,마스터 POI ID,POI명,분류명,시도명칭,시군구명칭,법정읍면동명칭,리명칭,번지,X좌표 경도,Y좌표 위도,GRID 격자 코드
122,장소,관광지,11383320,수성문화제,지역축제,강원도,고성군,간성읍,상리,500,128.464782462362,38.3769497578299,라아842422
123,장소,관광지,11383322,왕곡마을민속체험축제,지역축제,강원도,고성군,죽왕면,오봉리,391,128.499388571638,38.3409613877579,라아873383
124,장소,관광지,16499384,장사마을,일반관광지,강원도,속초시,장사동,,548-7,128.588019949105,38.2266425165818,라아952257
125,장소,관광지,20668469,대진항해상공원,테마공원/대형놀이공원,강원도,고성군,현내면,대진리,130-6,128.426399800019,38.4989370729388,라아807557
126,장소,관광지,11384532,통일전망대해돋이축제,지역축제,강원도,고성군,현내면,마차진리,180,128.418804395637,38.5147743259636,라아801575
127,장소,관광지,21607610,봉디브,토속/특산물/기념품매장,강원도,고성군,토성면,봉포리,189,128.564878849087,38.2530150832446,라아931286
128,장소,관광지,11384551,오징어맨손잡기축제,지역축제,강원도,속초시,영랑동,,163-84,128.590171258657,38.2191293844165,라아954248
129,장소,관광지,14529916,명동상회,토속/특산물/기념품매장,강원도,속초시,설악동,,246-36,128.526329040574,38.1668532166725,라아899190
130,장소,관광지,20739842,거진1리해수욕장,해수욕장,강원도,고성군,거진읍,거진리,,128.46586595603,38.4482046109161,라아842501
131,장소,관광지,20916601,고성통일명태축제,지역축제,강원도,고성군,거진읍,거진리,,128.454565247779,38.4409628708345,라아833493
132,장소,관광지,7231411,외옹치해수욕장,해수욕장,강원도,속초시,대포동,,,128.608981035973,38.183366199905,라아971209
133,장소,관광지,20527161,고성오션투유삼포해수욕장연날리기축제,지역축제,강원도,고성군,죽왕면,삼포리,,128.532455329468,38.3177115626265,라아902357
134,장소,관광지,20867808,외옹치바다향기로,유명관광지,강원도,속초시,대포동,,712,128.611932842994,38.1794945714517,라아973205
135,장소,관광지,8292834,학무정,일반관광지,강원도,속초시,도문동,,33-2,128.552091745156,38.1637724751045,라아921186
136,장소,관광지,17908591,고성화진포해맞이축제,지역축제,강원도,고성군,거진읍,화포리,,128.439317140573,38.478319555043,라아819534
137,장소,관광지,19869170,금강산림교육센터,일반관광지,강원도,고성군,간성읍,하리,17-2,128.467885712017,38.3795491981183,라아845425
138,장소,관광지,7231221,거진해수욕장,해수욕장,강원도,고성군,거진읍,거진리,,128.454585109153,38.4404611948541,라아833493
139,장소,관광지,21086008,속초먹거리촌,먹거리/패션거리,강원도,속초시,교동,,1004,128.57398709235,38.1947408718717,라아940221
140,장소,관광지,7231471,등대해수욕장,해수욕장,강원도,속초시,영랑동,,,128.595030989303,38.2176257070395,라아958247
141,장소,관광지,8536826,설악케이블카,일반관광지,강원도,속초시,설악동,,146-2,128.489110743809,38.1730869407728,라아866196
142,장소,관광지,16588501,송지호국민관광지,일반관광지,강원도,고성군,죽왕면,오호리,산2-22,128.527882863605,38.3330224829805,라아898374
143,장소,관광지,20937394,삼포해수욕장소확행불꽃놀이&캠프파이어축제,지역축제,강원도,고성군,죽왕면,삼포리,1327,128.534092224548,38.3140057969465,라아904353
144,장소,관광지,5615361,신흥사,유명사찰,강원도,속초시,설악동,,170,128.484476020508,38.1759784674875,라아862199
145,장소,관광지,16499387,오호마을,일반관광지,강원도,고성군,죽왕면,오호리,29-30,128.528554210499,38.3269093980317,라아899367
146,장소,관광지,17228323,관음정사,지역사찰,강원도,속초시,노학동,,217-1,128.557402363229,38.1973579773802,라아925224
147,장소,관광지,7231428,청호해수욕장,해수욕장,강원도,속초시,청호동,,,128.594975700978,38.2037902649091,라아958231
148,장소,관광지,11383323,연어의꿈잔치축제,지역축제,강원도,고성군,거진읍,대대리,8,128.465538144382,38.398380939212,라아843446
149,장소,관광지,14123488,운학사,지역사찰,강원도,고성군,토성면,금화정리,산2,128.529731894587,38.2745695133905,라아900309
150,장소,관광지,17032226,속초설악로데오거리,먹거리/패션거리,강원도,속초시,금호동,,479-25,128.590040443452,38.2024582300013,라아954230
151,장소,관광지,20916604,통일전망대,일반관광지,강원도,고성군,현내면,마차진리,188,128.417336858781,38.514725812793,라아799575
152,장소,관광지,824715,외옹치리소류지,지역호수/저수지,강원도,속초시,대포동,,산22-8,128.603459177343,38.1818173851427,라아966207
153,장소,관광지,7231184,삼포해수욕장,해수욕장,강원도,고성군,죽왕면,삼포리,,128.536738345878,38.313674133521,라아906353
154,장소,관광지,8292654,이기붕별장,일반관광지,강원도,고성군,거진읍,화포리,530-1,128.442279437948,38.4734948582465,라아821529
155,장소,관광지,8292753,천학정,일반관광지,강원도,고성군,토성면,교암리,177-10,128.548046658641,38.288863036637,라아916325
156,장소,관광지,11384559,양미리축제,지역축제,강원도,속초시,동명동,,383-1,128.59420518866,38.2098901417452,라아957238
157,장소,관광지,17396718,영산불교현지사,지역사찰,강원도,고성군,현내면,대진리,195-2,128.428667990651,38.4938641727693,라아809552
158,장소,관광지,7231307,아야진해수욕장,해수욕장,강원도,고성군,토성면,아야진리,,128.553406101944,38.2754865749451,라아921310
159,장소,관광지,21231590,속초봄빛축제청초누리,지역축제,강원도,속초시,교동,,1025-1,128.582485809289,38.1960741302327,라아947223
160,장소,관광지,16515920,내원암,유명사찰,강원도,속초시,설악동,,213,128.474082929172,38.1854773331886,라아853210
161,장소,관광지,19868717,천화대,일반관광지,강원도,속초시,설악동,,산41,128.455967243326,38.146217135056,라아837166
162,장소,관광지,20796028,속초썸머비치페스티벌,지역축제,강원도,속초시,조양동,,,128.60339864723,38.1909366038812,라아966217
163,장소,관광지,8291932,도원유원지,일반유원지/일반놀이공원,강원도,고성군,토성면,도원리,398-11,128.474834451808,38.2676383275925,라아852301
164,장소,관광지,20868114,속초카페거리,먹거리/패션거리,강원도,고성군,토성면,용촌리,59-2,128.583857685587,38.2308043641089,라아948261
165,장소,관광지,21086015,속초순대골목,먹거리/패션거리,강원도,속초시,금호동,,492-51,128.589005671996,38.204494497449,라아953232
166,장소,관광지,14545147,열린수목원,휴양림/수목원,강원도,속초시,조양동,,190,128.573900996896,38.1903093558597,라아940216
167,장소,관광지,15490623,동광사,지역사찰,강원도,속초시,조양동,,1026,128.5646330009,38.1857584990163,라아932211
168,장소,관광지,17655602,다이나믹메이즈,일반관광지,강원도,속초시,노학동,,1069-2,128.517537332742,38.2055230841721,라아890232
169,장소,관광지,17930983,고성하늬라벤더팜라벤더축제,지역축제,강원도,고성군,간성읍,어천리,786-5,128.414489237572,38.3488769799129,라아799391
170,장소,관광지,21607607,동아기념품,토속/특산물/기념품매장,강원도,속초시,노학동,,729-3,128.545847604816,38.1996869644639,라아915226
171,장소,관광지,16864394,속초먹거리단지,먹거리/패션거리,강원도,속초시,교동,,972,128.574205995627,38.1949110927141,라아940221
172,장소,관광지,18354482,삼포2리해변,해수욕장,강원도,고성군,죽왕면,삼포리,,128.533579390952,38.3167899108374,라아903356
173,장소,관광지,819160,산학저수지,지역호수/저수지,강원도,고성군,현내면,산학리,570,128.405284258575,38.4779052389321,라아789534
174,장소,관광지,17228266,성덕사,지역사찰,강원도,고성군,간성읍,금수리,370-1,128.459008753599,38.3583042668398,라아837401
175,장소,관광지,19869013,토왕성,일반관광지,강원도,속초시,설악동,,산41,128.497369823837,38.1588565642487,라아873180
176,장소,관광지,11385227,덕산봉수,일반관광지,강원도,속초시,대포동,,908-1,128.61342615243,38.1808405438857,라아975206
177,장소,관광지,16493402,염주폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.477301637026,38.1360900016302,라아856155
178,장소,관광지,8292657,이승만별장,일반관광지,강원도,고성군,현내면,죽정리,산1-3,128.436437064087,38.4707521672825,라아816526
179,장소,관광지,20906749,설악산단풍축제,지역축제,강원도,속초시,설악동,,309,128.532036376708,38.1671856774002,라아904190
180,장소,관광지,5615502,관음사,지역사찰,강원도,속초시,교동,,767-40,128.573374835232,38.2017459015427,라아939229
181,장소,관광지,16374086,건봉사포교당,지역사찰,강원도,고성군,간성읍,신안리,363-1,128.470443549479,38.3815425968027,라아847427
182,장소,관광지,20637461,동해안최북단저도어장대문어축제,지역축제,강원도,고성군,현내면,대진리,130-5,128.424754943342,38.4996685886459,라아806558
183,장소,관광지,7231525,마차진해수욕장,해수욕장,강원도,고성군,현내면,마차진리,,128.418787191416,38.5116520362573,라아801571
184,장소,관광지,8268289,해맞이봉산림욕장,휴양림/수목원,강원도,고성군,거진읍,거진리,10-6,128.465886406219,38.4502458213351,라아842503
185,장소,관광지,8268818,천불동계곡,폭포/계곡,강원도,속초시,설악동,,산41,128.468615990301,38.1604242223016,라아848182
186,장소,관광지,9653768,비룡폭포,폭포/계곡,강원도,속초시,설악동,,산38,128.481115252835,38.1782941019117,라아859202
187,장소,관광지,14780761,연풍사절,지역사찰,강원도,속초시,금호동,,625-9,128.582152615057,38.2075021582275,라아947235
188,장소,관광지,16497875,오징어맨손잡기축제,지역축제,강원도,속초시,장사동,,548-27,128.588676150842,38.2257974890431,라아952256
189,장소,관광지,18349120,켄싱턴해변,해수욕장,강원도,고성군,토성면,봉포리,,128.573162251776,38.2435221082854,라아939275
190,장소,관광지,18920948,달마관음사,지역사찰,강원도,고성군,거진읍,봉평리,340,128.438443154015,38.4465967910622,라아818499
191,장소,관광지,21086007,속초포장마차거리,먹거리/패션거리,강원도,속초시,영랑동,,133-1,128.597546571274,38.2148172692642,라아960244
192,장소,관광지,7231339,초도해수욕장,해수욕장,강원도,고성군,현내면,대진리,,128.42904465342,38.493505216594,라아810551
193,장소,관광지,8292146,장신유원지,일반유원지/일반놀이공원,강원도,고성군,간성읍,장신리,513,128.378353419374,38.330371058853,라아767370
194,장소,관광지,14110321,신선호수,지역호수/저수지,강원도,고성군,토성면,신평리,471-4,128.48835853054,38.2289153799501,라아865258
195,장소,관광지,15168981,칠성암,지역사찰,강원도,고성군,토성면,용촌리,298,128.577140521199,38.2310981779043,라아942261
196,장소,관광지,7231224,공현진1리해수욕장,해수욕장,강원도,고성군,죽왕면,공현진리,,128.511895520252,38.3519587620071,라아884395
197,장소,관광지,16763128,원조튀김골목,먹거리/패션거리,강원도,속초시,대포동,,964,128.605753555562,38.1735916091752,라아968198
198,장소,관광지,20796029,속초수제맥주축제,지역축제,강원도,속초시,조양동,,,128.60341116152,38.1909335122374,라아966217
199,장소,관광지,6465928,삼불사,유명사찰,강원도,고성군,거진읍,화포리,산3,128.444509028903,38.4654134160319,라아823520
200,장소,관광지,7231259,반암해수욕장,해수욕장,강원도,고성군,거진읍,반암리,,128.462942805608,38.42205890618,라아840472
201,장소,관광지,13944703,속초해맞이축제,지역축제,강원도,속초시,조양동,,,128.604559873374,38.1896681208339,라아967216
202,장소,관광지,16143758,한국SGI,지역사찰,강원도,속초시,동명동,,565-25,128.588412645881,38.211562944078,라아952240
203,장소,관광지,21607596,풍선파티,토속/특산물/기념품매장,강원도,속초시,교동,,664-217,128.580862655958,38.1995778039194,라아946226
