,상세도로망_링크ID,노선번호,링크 길이,도로명,시도명,시군구명,시간적 범위,평일주말,당일최대정체길이
402,2970015600,4,,서해안고속도로,강원도,,전일,주말,1
403,2970021000,4,,서해안고속도로,강원도,,전일,주말,2
404,2300701300,3,,중부고속도로,강원도,,전일,주말,0
405,2310050400,3,,중부고속도로,강원도,,전일,주말,0
406,2770327100,2,,영동고속도로,강원도,,전일,주말,8
407,2770340300,2,,영동고속도로,강원도,,전일,주말,0
408,3550732701,1,,경부고속도로,강원도,,전일,주말,0
409,2450132601,1,,경부고속도로,강원도,,전일,주말,3
410,2310051400,5,,중부내륙고속도로,강원도,,전일,평일,0
411,2790014500,5,,중부내륙고속도로,강원도,,전일,평일,0
412,2333364200,4,,서해안고속도로,강원도,,전일,평일,1
413,2970247700,4,,서해안고속도로,강원도,,전일,평일,3
414,2310051400,3,,중부고속도로,강원도,,전일,평일,0
415,2790014500,3,,중부고속도로,강원도,,전일,평일,0
416,2770341900,2,,영동고속도로,강원도,,전일,평일,3
417,2770346500,2,,영동고속도로,강원도,,전일,평일,6
418,3530477501,1,,경부고속도로,강원도,,전일,평일,10
419,2450132901,1,,경부고속도로,강원도,,전일,평일,2
420,2790014900,5,,중부내륙고속도로,강원도,,전일,평일,0
421,2790015523,5,,중부내륙고속도로,강원도,,전일,평일,0
422,2970247900,4,,서해안고속도로,강원도,,전일,평일,4
423,2970248300,4,,서해안고속도로,강원도,,전일,평일,3
424,2790014900,3,,중부고속도로,강원도,,전일,평일,0
425,2790015523,3,,중부고속도로,강원도,,전일,평일,0
426,2770346900,2,,영동고속도로,강원도,,전일,평일,0
427,2770359300,2,,영동고속도로,강원도,,전일,평일,5
428,3530477601,1,,경부고속도로,강원도,,전일,평일,9
429,2450132701,1,,경부고속도로,강원도,,전일,평일,4
430,2340005700,5,,중부내륙고속도로,강원도,,전일,평일,0
431,2340006600,5,,중부내륙고속도로,강원도,,전일,평일,0
432,2970248900,4,,서해안고속도로,강원도,,전일,평일,0
433,2334291900,4,,서해안고속도로,강원도,,전일,평일,11
434,2340005700,3,,중부고속도로,강원도,,전일,평일,0
435,2340006600,3,,중부고속도로,강원도,,전일,평일,1
436,2770370700,2,,영동고속도로,강원도,,전일,평일,12
437,2770378500,2,,영동고속도로,강원도,,전일,평일,0
438,3550732701,1,,경부고속도로,강원도,,전일,평일,5
439,2450132601,1,,경부고속도로,강원도,,전일,평일,0
440,2340007811,5,,중부내륙고속도로,강원도,,전일,평일,0
441,2340034300,5,,중부내륙고속도로,강원도,,전일,평일,0
442,3000012400,4,,서해안고속도로,강원도,,전일,평일,0
443,3000012811,4,,서해안고속도로,강원도,,전일,평일,9
444,2340007811,3,,중부고속도로,강원도,,전일,평일,0
